"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
2061325509,"BR1",13,1,33,24,777,238,157,38,25,555,122,51
2061342070,"BR1",13,1,51,111,121,555,105,24,555,11,51,-1
2061248500,"BR1",13,0,117,51,245,-1,157,11,555,82,51,75
2061273330,"BR1",13,0,555,17,11,89,67,105,11,117,64,58
2061260074,"BR1",13,0,777,555,157,25,106,122,-1,157,25,24
2061196449,"BR1",13,0,122,51,33,157,350,141,64,53,555,106
2060412747,"BR1",13,0,53,555,134,90,122,25,58,157,103,33
2060309734,"BR1",13,0,157,25,121,117,122,53,28,122,777,555
1842138011,"BR1",13,1,119,24,105,-1,122,555,122,131,202,77
1842038992,"BR1",13,1,555,55,111,523,122,21,33,39,90,238
1842030128,"BR1",13,1,157,238,41,84,11,523,114,555,-1,157
1842002484,"BR1",13,1,122,64,84,131,16,555,122,523,84,55
1841939574,"BR1",13,1,875,103,523,202,11,122,875,238,105,523
1841943701,"BR1",13,1,84,131,254,875,157,523,555,67,86,122
2109491821,"BR1",13,1,238,117,360,141,114,82,238,120,60,157
2109424957,"BR1",13,0,11,60,39,157,80,6,106,238,147,121
2060930516,"BR1",13,1,8,84,24,25,122,350,122,235,157,117
2060873042,"BR1",13,0,117,777,84,122,238,141,25,51,120,777
2060847183,"BR1",13,1,35,55,67,84,777,131,412,25,141,28
2060841476,"BR1",13,1,-1,60,55,133,777,777,114,28,51,117
2060781949,"BR1",13,0,8,157,120,122,238,117,876,28,59,157
2060678927,"BR1",13,0,24,45,25,235,777,62,120,106,777,82
2060654910,"BR1",13,1,120,555,114,8,157,777,38,121,25,350
1914322413,"BR1",13,0,350,8,-1,-1,11,102,-1,30,62,25
1914292647,"BR1",13,1,117,51,90,107,25,235,8,157,122,111
1914129054,"BR1",13,0,154,-1,62,111,117,9,875,38,235,-1
1865277643,"BR1",13,0,122,82,89,105,119,2,875,523,412,69
1865293165,"BR1",13,0,238,875,523,-1,25,117,111,99,523,-1
1794632130,"BR1",13,0,245,238,111,84,235,350,25,10,122,117
1794528496,"BR1",13,1,122,35,25,350,238,67,111,25,84,26
1790667013,"BR1",13,1,235,111,238,121,58,84,238,35,246,133
1790623065,"BR1",13,1,246,-1,45,67,84,25,235,64,8,245
1789251758,"BR1",13,0,157,235,28,84,8,105,235,238,84,89
1708773009,"BR1",13,1,64,99,202,157,25,84,555,103,350,157
1708756190,"BR1",13,1,39,90,238,412,64,120,238,122,157,84
1708738175,"BR1",13,1,157,246,85,238,82,84,55,157,555,120
1666100603,"BR1",13,1,8,39,119,555,517,58,84,111,120,63
1666084217,"BR1",13,1,24,555,113,8,120,517,86,81,8,157
1666080049,"BR1",13,0,-1,28,59,25,117,8,6,240,141,25
1666029037,"BR1",13,1,238,145,126,8,350,518,238,113,555,122
1655208115,"BR1",13,0,59,122,238,25,157,67,25,-1,10,8
1648183256,"BR1",13,0,90,25,157,39,266,117,24,113,8,39
1648174271,"BR1",13,0,119,157,8,44,238,25,119,157,24,92
1648152045,"BR1",13,0,120,58,145,245,25,103,157,8,25,39
1633579500,"BR1",13,1,421,122,63,119,105,91,154,63,59,8
1624724289,"BR1",13,1,157,103,64,26,122,157,517,28,122,238
1624717691,"BR1",13,1,74,10,157,11,119,119,201,75,10,64
1608559858,"BR1",13,0,238,120,63,51,122,10,142,238,51,8
1608379391,"BR1",13,1,157,238,266,28,8,145,61,24,64,67
1608372465,"BR1",13,0,105,164,103,75,25,8,11,9,28,58
1608355143,"BR1",13,0,412,20,157,103,92,8,555,68,28,75
1608306957,"BR1",13,1,267,420,8,75,28,238,83,164,517,10
1608236430,"BR1",13,0,101,90,84,11,92,75,8,254,122,28
1608207448,"BR1",13,1,8,39,28,238,517,518,67,421,517,105
1605392642,"BR1",13,0,10,161,26,59,157,90,8,10,24,64
1605369362,"BR1",13,1,157,238,555,222,5,92,24,238,64,105
1605363063,"BR1",13,1,24,10,102,8,90,117,30,83,421,238
1605342501,"BR1",13,1,5,92,9,157,30,8,238,555,58,53
1604956999,"BR1",13,0,238,24,8,56,25,122,142,201,238,92
1604940783,"BR1",13,1,120,8,122,39,518,24,-1,25,236,30
1604917326,"BR1",13,0,61,117,10,24,8,91,121,517,238,11
1604897075,"BR1",13,1,11,24,8,517,157,555,25,30,238,518
1604868209,"BR1",13,0,67,157,117,8,10,267,84,24,10,157
1593701970,"BR1",13,1,555,412,34,11,6,142,92,238,83,412
1581522574,"BR1",13,1,114,6,30,236,119,157,9,127,30,14
1571714927,"BR1",13,0,202,517,63,14,64,25,84,6,517,39
1571677643,"BR1",13,1,236,24,238,112,143,122,266,157,412,84
1596088458,"BR1",13,0,6,267,7,421,157,142,83,33,157,517
1596055539,"BR1",13,0,7,122,81,412,64,33,517,127,25,92
1596031793,"BR1",13,1,157,412,238,104,517,30,103,35,45,157
1595978279,"BR1",13,1,157,142,119,67,51,134,161,11,92,51
1595951793,"BR1",13,0,238,517,157,-1,92,114,517,238,9,30
1595851382,"BR1",13,0,157,25,127,81,122,517,157,142,412,238
1595836515,"BR1",13,1,7,412,33,6,517,127,238,157,24,122
1595815150,"BR1",13,1,24,6,81,412,157,7,145,412,83,517
1595743624,"BR1",13,0,103,122,12,58,157,122,157,517,55,30
1595727331,"BR1",13,1,86,517,64,25,157,81,103,30,117,122
1595717662,"BR1",13,1,517,23,11,59,157,90,35,64,39,238
2060738737,"BR1",13,0,24,120,28,106,7,122,84,64,51,3
1604996768,"BR1",13,1,58,157,11,55,117,51,30,8,157,131
