"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
2122746968,"EUN1",13,0,7,122,75,141,39,30,6,11,75,63
2123189910,"EUN1",13,0,122,24,30,84,51,11,517,119,105,122
2123207889,"EUN1",13,0,75,141,517,53,119,67,30,238,28,63
2123265605,"EUN1",13,0,35,119,90,157,238,236,30,75,84,-1
2123289211,"EUN1",13,0,114,75,25,99,119,555,30,84,23,157
2123310204,"EUN1",13,0,24,157,63,11,240,238,59,75,84,30
2123339888,"EUN1",13,1,121,84,30,58,119,63,39,122,555,266
2123362195,"EUN1",13,0,157,30,84,236,555,12,39,517,157,266
2128020683,"EUN1",13,1,238,77,157,85,30,145,238,157,63,92
2128090467,"EUN1",13,1,122,64,236,114,157,30,105,238,412,236
2128179938,"EUN1",13,0,238,11,67,90,30,119,63,245,29,122
2128843451,"EUN1",13,1,238,6,30,131,25,119,54,236,157,238
2128873476,"EUN1",13,0,55,412,30,23,77,24,7,266,75,121
2128902654,"EUN1",13,1,75,238,420,30,555,238,11,83,157,236
2128923946,"EUN1",13,1,58,157,25,75,238,157,420,30,238,89
2128961758,"EUN1",13,1,63,64,105,39,11,238,75,30,117,142
2137065254,"EUN1",13,0,236,90,51,106,157,266,107,99,69,120
2137611416,"EUN1",13,0,83,24,30,517,119,39,55,24,238,86
2159352479,"EUN1",13,0,75,157,84,33,238,-1,517,35,84,53
2159441788,"EUN1",13,1,122,238,10,86,38,421,105,157,24,238
2159505742,"EUN1",13,0,6,45,11,238,157,75,432,122,86,517
2159510818,"EUN1",13,1,89,10,238,517,86,86,55,64,122,10
2159559810,"EUN1",13,1,238,17,81,141,143,121,238,55,157,75
2159580380,"EUN1",13,1,55,141,10,25,86,10,420,32,238,122
2159607254,"EUN1",13,0,77,25,5,53,105,55,412,86,18,10
2159633556,"EUN1",13,0,67,121,25,8,58,238,6,142,86,517
2159663993,"EUN1",13,0,122,119,63,555,10,33,203,86,412,25
2160246602,"EUN1",13,1,86,157,238,517,84,238,122,89,99,420
2160348372,"EUN1",13,1,157,63,75,555,141,10,517,85,63,119
2160350841,"EUN1",13,0,86,119,10,266,122,24,114,67,238,157
2160353547,"EUN1",13,0,119,141,203,103,83,86,119,238,412,10
2160419558,"EUN1",13,0,53,222,30,67,238,141,157,86,21,55
2160444612,"EUN1",13,0,86,517,-1,127,6,-1,86,-1,24,157
2160449859,"EUN1",13,1,157,17,67,10,84,119,10,-1,28,86
2160455277,"EUN1",13,0,75,10,25,51,157,24,119,25,517,8
2163313929,"EUN1",13,1,67,122,10,119,24,157,119,127,122,11
2163335556,"EUN1",13,1,119,555,17,157,24,10,86,11,7,99
2163397775,"EUN1",13,1,8,202,11,86,427,105,517,51,92,121
2164319029,"EUN1",13,1,122,86,119,238,127,89,122,24,53,518
2164323302,"EUN1",13,0,122,83,141,10,25,555,25,157,63,86
2164357894,"EUN1",13,1,86,12,25,67,120,238,131,201,58,122
2164362005,"EUN1",13,0,119,25,63,12,86,122,81,106,45,10
2164397992,"EUN1",13,0,11,266,157,24,55,10,86,6,51,25
2297247202,"EUN1",13,0,54,86,555,82,254,84,55,131,157,9
2298969879,"EUN1",13,0,24,53,82,8,157,420,25,238,412,86
2165451237,"EUN1",13,0,7,-1,122,11,10,127,142,25,157,10
2165455993,"EUN1",13,1,157,80,8,238,517,122,25,127,420,7
2165473708,"EUN1",13,1,6,10,222,412,33,236,8,117,53,11
2165521099,"EUN1",13,1,103,120,157,10,67,89,10,238,67,122
2165567204,"EUN1",13,1,6,122,80,25,63,67,75,157,10,84
2165579199,"EUN1",13,0,6,67,238,8,122,518,122,25,86,11
2165585370,"EUN1",13,0,6,238,421,17,67,10,517,157,127,121
2165611842,"EUN1",13,1,10,24,517,127,238,157,25,75,10,11
2165625681,"EUN1",13,1,202,11,238,25,8,10,-1,25,6,238
2166624615,"EUN1",13,0,77,119,6,28,238,238,412,53,122,11
2166670604,"EUN1",13,1,17,-1,121,238,157,238,10,421,161,412
2166726426,"EUN1",13,0,517,555,63,157,10,8,67,77,238,75
2167215795,"EUN1",13,0,91,157,24,67,10,25,77,10,8,78
2167250222,"EUN1",13,0,119,113,11,105,25,157,25,24,412,120
2167277196,"EUN1",13,0,11,55,238,122,119,39,157,122,238,517
2648242466,"EUN1",13,1,147,33,112,92,360,360,114,223,238,120
2648259287,"EUN1",13,1,360,25,122,157,104,360,55,32,11,58
2648292857,"EUN1",13,1,55,58,235,32,236,54,157,117,114,25
2650012961,"EUN1",13,0,90,32,360,114,117,420,157,33,25,517
2650037327,"EUN1",13,1,238,84,32,157,25,145,32,122,238,17
2650511090,"EUN1",13,1,147,114,131,350,777,54,111,222,84,11
2650529145,"EUN1",13,1,777,63,141,11,157,157,106,32,114,202
2179012386,"EUN1",13,0,157,11,555,63,5,238,11,120,90,119
2179023480,"EUN1",13,1,240,67,157,120,238,110,11,51,67,238
2173569300,"EUN1",13,1,24,122,119,25,8,122,238,18,119,10
2179033249,"EUN1",13,1,120,238,64,157,75,53,121,75,86,119
2177069141,"EUN1",13,1,67,51,127,58,89,122,84,10,141,86
2179033773,"EUN1",13,0,157,11,78,120,238,8,157,25,84,63
2179088045,"EUN1",13,1,67,11,122,25,238,24,157,25,99,23
2179223248,"EUN1",13,0,11,157,75,67,518,24,119,92,11,238
2179227405,"EUN1",13,1,202,238,11,28,6,67,238,122,24,25
2302086609,"EUN1",13,1,59,119,122,25,63,80,111,64,54,75
2179309902,"EUN1",13,1,238,119,11,53,114,238,8,122,84,157
2179592809,"EUN1",13,0,238,121,81,157,119,238,67,266,8,25
2179985484,"EUN1",13,1,555,55,91,7,36,122,89,11,127,157
2180017849,"EUN1",13,0,119,238,53,39,78,157,114,119,555,120
2179902339,"EUN1",13,0,517,63,10,55,-1,11,25,412,141,238
2180001646,"EUN1",13,0,412,432,122,12,157,11,119,63,238,122
2180018122,"EUN1",13,1,51,18,101,254,8,157,11,24,8,122
2180019469,"EUN1",13,1,63,11,28,238,119,121,238,119,29,157
2180074672,"EUN1",13,1,8,238,24,59,141,238,9,-1,32,412
2180231641,"EUN1",13,0,238,89,555,24,11,157,238,11,25,33
2180408416,"EUN1",13,1,238,81,119,75,555,555,11,122,119,238
2180461729,"EUN1",13,0,238,55,39,420,11,238,111,122,11,24
2180481987,"EUN1",13,1,238,498,245,67,24,25,7,83,64,89
2180574694,"EUN1",13,1,517,122,89,141,238,90,518,122,238,67
2180587426,"EUN1",13,0,238,157,11,122,143,238,59,145,16,85
2180609393,"EUN1",13,1,10,11,63,238,92,555,75,105,238,119
2180254869,"EUN1",13,0,84,-1,11,157,25,92,238,24,25,119
2180647066,"EUN1",13,1,51,238,69,75,25,67,8,238,157,6
2180469501,"EUN1",13,0,25,122,127,30,83,119,238,58,39,16
2181585970,"EUN1",13,0,238,25,58,412,5,25,238,89,84,122
2182021271,"EUN1",13,1,238,53,119,10,517,238,122,25,6,11
2182055599,"EUN1",13,0,111,-1,421,555,80,122,201,238,120,-1
2182081453,"EUN1",13,0,222,113,145,254,122,238,120,67,157,122
2182349184,"EUN1",13,0,105,238,201,25,120,17,120,238,157,222
2182354112,"EUN1",13,0,111,141,86,223,-1,55,120,92,238,11
2182360407,"EUN1",13,0,2,238,25,157,120,157,35,90,8,11
2182375642,"EUN1",13,1,24,120,25,119,238,24,58,10,238,67
2180475510,"EUN1",13,0,238,80,8,38,67,99,238,-1,67,24
2182390565,"EUN1",13,0,90,25,141,24,53,238,89,12,8,11
2182399286,"EUN1",13,1,64,67,120,122,238,24,25,7,51,555
2187010083,"EUN1",13,1,24,141,67,119,111,25,142,84,157,67
2182397390,"EUN1",13,1,122,555,238,120,25,119,11,266,518,51
2183054351,"EUN1",13,1,114,254,51,24,238,59,67,238,24,53
2183226490,"EUN1",13,0,39,122,119,50,222,238,59,58,122,236
2183361979,"EUN1",13,1,16,238,25,84,67,238,7,122,-1,117
2184006016,"EUN1",13,1,75,84,53,157,238,111,53,120,11,238
2184031886,"EUN1",13,1,238,122,59,75,412,555,24,111,240,238
2184196354,"EUN1",13,1,75,157,113,119,238,111,24,33,134,119
2184203110,"EUN1",13,0,157,64,7,120,238,223,120,238,25,59
2184690257,"EUN1",13,0,75,-1,25,11,238,122,24,238,32,119
2190095308,"EUN1",13,0,8,238,119,25,67,39,157,117,25,33
2190340258,"EUN1",13,1,238,119,30,122,55,67,157,120,15,114
2190354331,"EUN1",13,1,33,6,122,266,119,67,64,238,8,75
2190642361,"EUN1",13,0,517,111,555,141,238,106,555,36,63,53
2187029772,"EUN1",13,0,238,202,157,350,8,84,238,266,25,119
2194345427,"EUN1",13,0,157,238,266,58,412,81,30,238,517,24
2187059755,"EUN1",13,0,157,111,238,8,350,8,89,141,555,10
2187832879,"EUN1",13,0,111,141,61,75,25,120,23,122,238,25
2217471637,"EUN1",13,0,223,82,498,8,25,120,117,82,39,122
2230420894,"EUN1",13,0,107,25,80,82,8,555,90,141,145,122
2230467994,"EUN1",13,0,69,141,107,8,157,99,82,17,105,121
2235956870,"EUN1",13,0,107,7,75,412,157,122,119,141,517,-1
2235959086,"EUN1",13,1,89,238,15,58,67,107,40,238,75,67
2236030219,"EUN1",13,0,122,99,555,63,246,90,122,350,107,120
2252165492,"EUN1",13,0,53,28,-1,350,-1,55,157,238,246,11
2252220491,"EUN1",13,0,63,107,23,238,157,54,238,75,246,101
2278546280,"EUN1",13,1,54,82,238,45,107,51,122,8,238,555
2302453739,"EUN1",13,1,555,54,238,498,90,80,90,122,54,64
2194889806,"EUN1",13,0,120,555,105,59,8,517,99,67,8,122
2194916449,"EUN1",13,0,11,266,245,8,37,67,238,114,25,84
2194952110,"EUN1",13,1,2,103,238,99,11,141,238,111,63,119
2195565394,"EUN1",13,1,555,25,8,122,75,238,266,145,122,113
2195566893,"EUN1",13,0,119,122,8,33,84,142,36,119,120,122
2196924779,"EUN1",13,0,39,420,238,119,7,1,238,11,122,157
2278548407,"EUN1",13,1,84,25,53,157,82,58,11,82,107,25
2278593979,"EUN1",13,0,33,82,36,107,555,246,58,238,89,80
2280135309,"EUN1",13,0,23,119,145,157,25,107,85,75,7,121
2290591721,"EUN1",13,1,11,8,119,157,67,35,86,238,-1,122
2294155366,"EUN1",13,1,11,238,157,35,8,53,105,238,121,17
2294185560,"EUN1",13,0,131,111,245,84,53,157,11,67,-1,8
2280128432,"EUN1",13,0,145,517,555,114,143,245,412,25,15,107
2294383643,"EUN1",13,0,103,53,157,246,25,82,25,246,80,498
2294459815,"EUN1",13,1,86,245,82,25,51,28,25,120,80,246
2294716528,"EUN1",13,1,81,238,84,55,240,35,114,89,246,107
2294724957,"EUN1",13,1,84,51,54,28,245,17,81,114,246,89
2294945617,"EUN1",13,1,25,13,122,84,498,8,56,555,11,142
2294968089,"EUN1",13,0,11,238,24,111,157,35,11,8,67,86
2295007241,"EUN1",13,0,350,103,54,84,117,8,11,420,141,17
2295065962,"EUN1",13,1,266,38,28,86,55,121,245,8,63,11
2295070617,"EUN1",13,1,86,238,25,122,84,9,11,238,8,33
2295091693,"EUN1",13,0,84,33,24,25,22,8,38,119,121,157
2295112568,"EUN1",13,0,8,555,350,9,157,238,86,119,90,80
2295137263,"EUN1",13,0,112,11,119,84,555,99,157,58,25,54
2295614265,"EUN1",13,1,35,141,245,59,119,105,157,11,45,92
2302509238,"EUN1",13,0,67,54,80,141,238,122,35,157,238,25
2297242703,"EUN1",13,0,25,86,157,246,11,119,28,121,25,127
2302764197,"EUN1",13,0,107,10,119,238,157,141,80,555,54,114
2302810161,"EUN1",13,0,141,39,84,412,89,555,121,35,157,145
2303662176,"EUN1",13,0,555,141,238,122,67,91,121,105,120,58
2303694964,"EUN1",13,0,157,89,-1,8,35,86,141,54,157,81
2303765866,"EUN1",13,1,121,555,157,238,82,136,141,81,134,24
2303798719,"EUN1",13,1,51,122,86,157,238,157,-1,114,119,412
2303858855,"EUN1",13,0,157,11,36,246,555,24,51,82,25,64
2303900081,"EUN1",13,1,157,111,86,236,121,11,7,133,120,157
2303929021,"EUN1",13,0,63,86,80,122,8,11,29,122,89,157
2303957922,"EUN1",13,0,122,103,35,498,246,24,142,64,157,145
2303726537,"EUN1",13,0,555,121,238,11,60,141,157,254,75,81
2303973125,"EUN1",13,1,105,157,82,145,119,105,117,114,238,122
2303984240,"EUN1",13,1,266,32,80,17,555,238,114,157,84,145
2304683340,"EUN1",13,0,53,238,119,157,86,23,498,81,91,141
2307652924,"EUN1",13,1,141,238,17,43,81,498,122,119,121,238
2307795168,"EUN1",13,0,145,143,157,498,10,51,122,81,141,350
2307800001,"EUN1",13,1,81,555,141,157,119,84,35,122,350,82
2307901664,"EUN1",13,1,222,246,86,141,51,67,111,246,245,122
2307918200,"EUN1",13,1,245,64,119,266,54,157,51,17,141,238
2309343730,"EUN1",13,0,8,13,145,235,25,119,63,157,238,235
2196939342,"EUN1",13,1,122,39,223,25,63,238,58,119,-1,25
2310495203,"EUN1",13,1,245,350,119,56,238,25,86,53,103,238
2310525068,"EUN1",13,0,350,90,17,25,238,235,53,21,75,54
2310530480,"EUN1",13,0,350,555,157,64,75,89,117,114,245,121
2311540809,"EUN1",13,0,86,141,90,10,63,25,238,51,235,157
2311575866,"EUN1",13,0,157,235,119,54,45,236,235,119,412,82
2311580879,"EUN1",13,0,119,16,55,238,36,238,11,235,119,143
2312141718,"EUN1",13,0,53,25,238,245,157,25,157,89,119,235
2312190992,"EUN1",13,1,111,25,238,235,157,90,119,145,13,54
2312239016,"EUN1",13,0,238,412,8,11,235,11,81,84,114,238
2312254594,"EUN1",13,0,-1,142,8,35,235,119,82,103,35,157
2312263108,"EUN1",13,0,157,246,235,8,84,54,111,24,25,235
2312769180,"EUN1",13,0,82,37,86,122,143,412,-1,82,24,238
2312775847,"EUN1",13,1,134,6,24,10,25,113,105,80,24,53
2312832820,"EUN1",13,1,238,53,122,6,111,111,25,54,131,235
2312844273,"EUN1",13,0,103,235,53,420,35,6,35,122,235,114
2312882443,"EUN1",13,1,99,235,24,121,25,7,75,6,51,64
2312911159,"EUN1",13,1,122,6,235,101,54,122,555,154,11,235
2312952013,"EUN1",13,0,555,420,53,8,157,51,75,6,84,157
2313141454,"EUN1",13,0,18,23,6,238,266,119,350,63,105,120
2313316003,"EUN1",13,1,10,86,157,51,34,53,10,235,105,157
2313380998,"EUN1",13,1,67,80,238,6,51,11,54,23,103,119
2313450580,"EUN1",13,0,350,157,122,141,235,238,6,51,122,82
2313527910,"EUN1",13,1,24,18,25,157,122,157,105,6,143,51
2313582107,"EUN1",13,0,89,6,8,238,555,56,238,25,51,86
2313652917,"EUN1",13,1,202,246,80,555,157,122,11,238,25,55
2313688934,"EUN1",13,0,55,238,266,235,82,51,80,238,8,245
2313717776,"EUN1",13,1,141,266,122,111,145,245,90,103,25,119
2313734849,"EUN1",13,1,11,53,122,7,238,157,64,82,-1,245
2313779896,"EUN1",13,1,24,121,86,55,555,53,235,-1,24,6
2313828581,"EUN1",13,1,35,75,119,245,63,3,98,11,145,24
2313848009,"EUN1",13,1,235,111,134,28,119,35,235,245,24,13
2313866634,"EUN1",13,0,35,119,266,420,84,1,25,235,90,23
2313903107,"EUN1",13,0,420,122,29,246,64,25,235,55,122,35
2314012959,"EUN1",13,0,555,350,35,55,58,86,63,25,35,11
2314040892,"EUN1",13,1,122,84,24,246,238,28,86,10,235,157
2314063545,"EUN1",13,1,127,235,53,121,8,114,235,51,157,11
2314098466,"EUN1",13,0,24,25,119,122,238,119,86,235,105,141
2314114162,"EUN1",13,0,55,235,82,86,245,64,122,235,84,555
2314151765,"EUN1",13,1,235,103,35,51,555,58,235,412,105,59
2314227422,"EUN1",13,0,238,24,84,235,8,11,38,53,157,235
2314297715,"EUN1",13,0,8,498,122,238,235,238,35,122,53,63
2315828995,"EUN1",13,1,10,157,141,235,145,157,517,119,11,420
2196964494,"EUN1",13,1,141,122,103,89,120,24,75,119,517,412
2321900915,"EUN1",13,0,41,84,24,28,13,246,38,238,24,350
2325453258,"EUN1",13,1,266,122,157,10,235,24,82,29,28,7
2325891767,"EUN1",13,1,102,11,53,235,240,111,121,235,86,238
2327105861,"EUN1",13,1,24,11,235,13,74,55,63,54,119,25
2327118230,"EUN1",13,0,74,157,25,-1,11,141,74,23,143,238
2327156920,"EUN1",13,0,157,58,35,30,74,39,63,498,8,107
2335818693,"EUN1",13,1,-1,105,114,56,235,120,107,54,235,25
2335834782,"EUN1",13,1,238,25,82,119,122,523,235,114,82,105
2337362836,"EUN1",13,0,25,238,82,523,157,51,84,122,64,119
2337965006,"EUN1",13,0,266,245,51,122,523,11,28,86,53,63
2338090386,"EUN1",13,1,19,420,523,25,105,122,523,38,84,238
