"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
2122746968,"EUN1",13,0,81,4,7,25,14,4,420,4,12,64,4,11,238,4,14,245,11,4,15,4,7,126,4,14,50,4,14,555,4,7
2123189910,"EUN1",13,0,126,4,12,157,3,4,145,4,7,201,4,14,19,4,11,222,4,7,121,4,11,83,4,12,37,4,3,238,14,4
2123207889,"EUN1",13,0,90,4,14,498,7,4,497,14,4,31,4,11,106,14,4,39,4,12,161,1,4,266,11,4,18,4,7,201,4,3
2123265605,"EUN1",13,0,131,14,4,58,4,14,11,4,11,222,4,7,412,14,4,24,4,12,37,7,4,517,4,11,126,4,14,81,12,4
2123289211,"EUN1",13,0,64,11,4,105,14,4,51,4,7,201,3,4,92,12,4,517,4,11,126,4,14,122,4,14,412,4,3,18,4,7
2123310204,"EUN1",13,0,105,4,14,122,14,4,119,4,7,412,14,4,517,4,11,110,4,7,14,4,14,64,4,11,126,4,14,89,14,4
2123339888,"EUN1",13,1,236,4,7,25,3,4,98,4,12,64,4,11,126,4,14,83,4,12,55,4,14,5,4,11,22,4,7,111,4,14
2123362195,"EUN1",13,0,78,4,12,29,7,4,64,4,11,126,4,14,143,4,3,119,4,7,101,4,21,201,14,4,54,12,4,145,4,11
2128020683,"EUN1",13,1,64,4,11,58,4,14,15,4,7,126,4,14,25,4,3,498,4,7,497,14,4,4,4,14,2,4,12,24,4,11
2128090467,"EUN1",13,1,15,4,7,80,12,4,19,4,11,161,4,21,3,14,4,67,4,7,54,14,4,517,4,11,12,4,14,245,4,14
2128179938,"EUN1",13,0,51,4,7,77,4,11,555,4,14,126,4,14,127,4,3,497,4,3,81,7,4,157,14,4,24,11,4,3,4,14
2128843451,"EUN1",13,1,11,11,4,222,4,7,126,4,14,201,4,3,86,12,4,8,14,4,141,4,11,412,14,4,67,4,7,23,4,14
2128873476,"EUN1",13,0,64,4,11,238,14,4,157,14,4,145,4,7,99,4,14,236,4,7,267,4,3,104,4,11,420,4,7,1,4,3
2128902654,"EUN1",13,1,15,4,7,126,4,14,92,12,4,267,4,14,59,11,4,429,4,7,117,3,4,6,12,4,103,4,14,141,11,4
2128923946,"EUN1",13,1,122,14,4,254,4,11,99,21,4,143,3,4,18,7,4,106,4,14,412,4,3,429,4,7,126,4,14,5,11,4
2128961758,"EUN1",13,1,498,4,7,497,4,14,121,4,11,1,14,4,92,14,4,24,4,12,412,14,4,81,4,7,126,4,14,28,11,4
2137065254,"EUN1",13,0,21,7,4,75,12,4,101,4,14,238,4,14,64,4,11,63,4,14,67,4,7,126,4,14,24,14,4,60,4,11
2137611416,"EUN1",13,0,412,4,3,92,4,12,67,7,4,141,4,11,157,4,14,145,12,4,126,4,14,267,4,14,75,4,12,121,11,4
2159352479,"EUN1",13,0,55,4,14,222,4,7,68,4,12,24,4,11,40,4,14,142,4,14,10,4,12,11,4,11,498,4,7,25,4,14
2159441788,"EUN1",13,1,11,4,11,517,4,14,266,4,12,145,4,7,555,4,14,17,14,4,121,4,11,90,4,14,40,4,3,67,7,4
2159505742,"EUN1",13,0,111,14,4,222,7,4,105,4,14,107,11,4,41,4,12,245,4,14,51,4,7,64,4,11,67,4,12,89,3,4
2159510818,"EUN1",13,1,145,4,7,201,4,3,245,4,14,75,4,14,141,11,4,67,7,4,555,14,4,33,11,4,39,4,14,24,4,14
2159559810,"EUN1",13,1,517,4,12,412,4,14,101,4,21,236,4,7,24,4,11,29,7,4,267,3,4,76,4,11,126,4,14,84,4,14
