"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
249296668,"JP1",13,0,90,53,89,360,122,105,111,360,122,104
248147675,"JP1",13,0,63,122,254,105,25,266,11,38,360,238
248100253,"JP1",13,0,360,89,38,114,142,83,777,360,9,3
248068919,"JP1",13,0,142,105,412,62,50,104,67,13,63,25
246003308,"JP1",13,0,122,8,236,51,104,105,57,51,876,201
245927227,"JP1",13,0,11,777,122,102,38,84,238,122,777,57
245925699,"JP1",13,0,89,105,11,35,107,24,28,53,35,25
245924727,"JP1",13,1,777,122,238,145,2,420,25,84,85,777
245943434,"JP1",13,0,22,104,113,81,131,154,51,81,122,11
216137130,"JP1",13,0,157,63,84,122,240,53,131,86,82,420
213098673,"JP1",13,1,154,53,555,122,238,10,89,555,238,157
212939394,"JP1",13,0,36,25,122,35,115,350,35,11,82,90
212919168,"JP1",13,0,238,35,517,105,122,498,555,157,28,35
210554604,"JP1",13,1,350,238,11,53,122,10,-1,427,60,28
210400482,"JP1",13,1,86,80,35,8,555,122,117,22,120,238
210379322,"JP1",13,1,86,54,111,53,22,86,53,-1,157,35
210378532,"JP1",13,0,120,86,103,67,555,35,555,8,86,143
195786019,"JP1",13,0,157,238,11,555,39,120,54,238,38,7
195216420,"JP1",13,1,238,420,421,122,26,120,25,122,39,90
193485260,"JP1",13,1,59,83,67,238,517,30,236,517,83,238
193141676,"JP1",13,0,33,77,92,53,157,39,157,164,141,53
193150922,"JP1",13,0,39,421,518,420,25,157,518,236,15,133
193092104,"JP1",13,0,238,25,92,5,157,90,9,421,67,122
193021446,"JP1",13,1,122,90,157,7,83,15,-1,81,39,421
192967777,"JP1",13,0,10,157,92,238,122,157,238,30,90,67
192977530,"JP1",13,0,56,238,5,421,83,238,102,7,122,142
192987161,"JP1",13,1,81,236,30,8,122,420,30,90,6,143
192687916,"JP1",13,0,67,24,238,34,421,238,24,4,83,121
192683923,"JP1",13,0,555,421,122,56,238,84,67,12,7,8
192703166,"JP1",13,0,126,238,122,236,25,6,8,53,421,28
191880643,"JP1",13,0,157,83,517,143,412,141,157,98,-1,238
191879079,"JP1",13,1,122,16,157,238,5,84,90,236,145,157
191791282,"JP1",13,0,75,53,33,110,157,39,83,5,555,222
190408619,"JP1",13,0,122,7,517,9,16,122,105,236,39,53
190382288,"JP1",13,0,39,236,75,64,14,33,75,103,30,119
190391384,"JP1",13,0,11,5,127,63,143,39,238,69,517,122
190257834,"JP1",13,1,122,39,91,113,238,7,240,-1,143,17
190255963,"JP1",13,0,75,62,420,157,67,164,7,84,-1,8
190254507,"JP1",13,1,67,39,28,12,90,67,157,517,121,3
190096096,"JP1",13,0,7,266,5,39,24,5,236,64,91,11
193207807,"JP1",13,0,238,114,11,518,157,555,11,122,517,427
190065545,"JP1",13,0,25,102,24,12,3,-1,8,63,24,3
