"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
4833066767,"KR",13,1,104,11,4,18,7,4,25,14,4,266,12,4,13,12,4,875,11,4,143,4,21,145,4,7,4,4,6,98,12,4
4833051229,"KR",13,0,121,11,4,80,4,14,98,12,4,21,7,4,105,14,4,106,4,12,876,4,11,3,12,4,15,7,4,53,14,4
4811683522,"KR",13,0,59,11,4,7,14,4,106,12,4,22,7,4,26,7,4,81,7,4,63,14,4,266,12,4,121,4,11,112,4,12
4808740096,"KR",13,1,6,4,12,67,7,4,25,11,4,523,4,1,57,4,14,81,7,4,147,14,4,59,11,4,55,14,12,106,12,4
4808555762,"KR",13,0,121,11,14,103,14,4,84,14,12,18,7,4,350,7,14,875,14,4,91,14,4,64,11,4,10,4,12,145,4,7
4803427375,"KR",13,1,3,4,12,120,11,6,67,7,4,235,21,4,202,12,4,59,11,4,7,14,4,99,14,4,51,7,4,517,12,4
4803463141,"KR",13,0,777,14,4,104,4,11,22,7,4,90,12,4,1,14,4,25,14,4,51,7,4,59,11,4,7,14,4,266,4,12
4803095504,"KR",13,1,420,12,4,50,4,14,202,7,4,11,4,11,777,14,4,266,14,4,92,4,12,59,11,4,360,7,4,16,21,4
4800728889,"KR",13,0,32,11,4,53,14,4,238,14,4,236,4,7,133,14,4,57,12,4,245,11,4,25,14,4,81,7,4,80,14,4
4800771692,"KR",13,1,517,12,4,20,11,4,267,14,4,236,1,4,91,14,4,59,11,4,103,14,4,150,4,12,202,7,4,89,4,14
4797375919,"KR",13,0,111,14,4,516,14,4,31,14,4,11,11,4,202,7,4,59,11,4,7,14,4,875,12,4,117,14,4,145,7,4
4797203598,"KR",13,1,32,11,4,7,14,4,82,12,4,43,3,4,202,4,7,57,12,4,141,11,4,236,4,7,80,14,4,26,12,4
4796979397,"KR",13,0,37,4,21,32,4,11,245,12,4,145,7,4,24,4,12,59,11,4,7,14,4,50,14,4,202,7,4,236,12,4
4796935024,"KR",13,1,32,11,4,7,14,4,236,7,4,12,14,4,17,14,4,69,14,4,104,4,11,101,21,4,91,4,14,22,7,4
4794386417,"KR",13,0,80,14,4,54,12,4,59,11,4,360,7,4,157,14,4,121,11,4,875,6,4,105,14,4,236,7,4,122,6,4
4794313656,"KR",13,1,32,11,4,57,14,4,90,12,4,22,7,4,50,12,4,777,14,4,517,4,11,53,14,4,202,1,4,85,12,4
4793123425,"KR",13,0,99,3,4,266,12,4,141,11,4,103,14,4,67,7,4,111,14,4,106,4,12,112,4,1,145,4,7,104,11,4
4793086346,"KR",13,1,24,12,4,360,7,4,235,21,4,245,12,4,104,11,4,236,14,4,54,12,4,60,11,4,26,14,4,22,7,4
4792933426,"KR",13,1,11,11,4,7,14,4,86,14,4,53,14,4,202,7,4,104,11,4,236,4,7,555,14,4,38,12,4,516,12,4
4792867361,"KR",13,1,245,14,4,266,12,4,86,11,4,555,14,4,21,7,4,25,14,4,246,14,4,106,12,4,72,4,11,202,4,7
4792792038,"KR",13,0,98,12,4,145,7,4,80,14,4,59,11,4,7,14,4,3,12,4,32,4,11,122,12,4,875,14,4,81,4,7
4790408634,"KR",13,0,12,4,14,154,11,4,202,7,4,245,4,12,516,12,4,17,14,4,59,11,4,103,12,4,57,4,14,145,4,7
4790414716,"KR",13,1,202,7,4,59,11,4,103,14,4,117,3,4,84,12,4,67,7,4,12,4,14,154,11,4,20,4,14,58,12,4
4786362889,"KR",13,1,43,4,14,22,7,4,517,14,4,24,4,12,76,11,4,523,7,4,147,4,14,112,12,4,98,12,4,102,11,4
4786340452,"KR",13,0,203,11,4,36,12,4,35,14,4,51,4,7,164,4,12,875,12,4,76,11,4,238,4,14,50,14,4,31,4,12
4786207124,"KR",13,1,114,14,4,203,11,4,145,4,1,103,14,4,35,14,4,89,14,4,122,6,4,81,7,4,7,4,14,254,11,4
4784958707,"KR",13,0,67,4,7,238,14,4,235,21,4,30,11,4,114,12,4,157,4,14,106,12,4,360,7,4,57,4,14,154,11,4
4784900760,"KR",13,1,53,14,4,202,7,4,516,12,4,35,11,14,236,12,4,67,4,7,101,21,4,54,14,4,98,11,4,164,3,4
4784824576,"KR",13,0,112,12,4,54,14,4,22,7,4,412,4,14,121,11,4,53,14,4,110,7,4,64,11,4,517,12,4,56,4,14
