"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
381599975,"OC1",13,0,-1,-1,360,28,54,84,147,25,121,202
381118815,"OC1",13,0,21,84,114,412,164,20,121,245,122,80
380867538,"OC1",13,1,99,58,164,141,412,-1,104,112,111,84
380825406,"OC1",13,1,99,141,20,-1,164,-1,105,164,-1,-1
380765057,"OC1",13,1,20,10,-1,84,360,202,-1,54,105,28
371691253,"OC1",13,1,360,84,777,111,104,245,360,-1,147,54
371631614,"OC1",13,1,84,360,777,121,-1,30,-1,10,22,54
371544652,"OC1",13,0,67,777,-1,236,141,360,111,32,164,154
371504399,"OC1",13,1,121,-1,24,32,-1,-1,-1,-1,164,20
371463165,"OC1",13,1,54,10,104,-1,25,111,32,360,84,8
371397764,"OC1",13,0,54,55,28,-1,104,32,-1,777,8,54
368450226,"OC1",13,0,114,360,142,238,121,-1,517,121,38,24
368346301,"OC1",13,0,84,80,121,120,245,164,62,360,-1,236
368318529,"OC1",13,1,517,99,360,245,80,-1,147,38,-1,245
368272019,"OC1",13,1,104,236,24,99,107,360,114,104,147,121
366889356,"OC1",13,1,117,350,236,54,360,114,-1,55,80,203
366786299,"OC1",13,1,107,-1,127,-1,-1,57,76,203,360,80
366745870,"OC1",13,1,-1,80,164,238,114,35,421,55,84,238
366123737,"OC1",13,0,84,360,157,203,121,80,39,102,245,-1
365730124,"OC1",13,1,203,127,350,59,55,-1,38,67,203,-1
365680882,"OC1",13,0,164,203,-1,350,236,76,203,360,104,120
365375354,"OC1",13,0,28,114,98,876,120,236,203,89,54,246
365339679,"OC1",13,0,360,114,777,105,25,245,114,76,-1,3
365268243,"OC1",13,0,203,57,80,245,164,421,164,114,-1,76
364838785,"OC1",13,0,203,236,-1,107,91,20,98,114,203,164
364831157,"OC1",13,0,164,203,34,81,39,164,34,203,114,-1
351408918,"OC1",13,0,76,39,24,10,20,38,-1,203,360,10
351430185,"OC1",13,1,164,120,114,76,350,-1,98,360,203,76
351395598,"OC1",13,1,55,-1,203,38,114,40,164,350,28,236
349677211,"OC1",13,1,164,107,360,421,157,76,111,127,203,121
336295911,"OC1",13,1,58,76,51,38,10,432,51,-1,24,127
336261997,"OC1",13,0,203,58,202,164,236,51,1,104,38,25
334051921,"OC1",13,0,58,-1,164,84,98,99,203,107,350,105
334027145,"OC1",13,1,98,58,111,145,127,119,122,24,164,141
333811779,"OC1",13,1,60,51,114,-1,127,164,38,84,105,777
333663278,"OC1",13,1,98,55,164,350,58,-1,106,114,412,164
333655447,"OC1",13,1,121,427,53,203,24,74,412,-1,777,432
333643712,"OC1",13,1,120,24,412,58,777,22,875,164,-1,38
333588457,"OC1",13,0,350,427,876,58,-1,268,28,51,876,114
333530516,"OC1",13,1,121,58,10,876,107,-1,164,28,10,51
333349212,"OC1",13,0,-1,236,10,24,22,99,114,28,203,51
333354058,"OC1",13,1,120,203,22,10,427,876,-1,24,51,203
333340103,"OC1",13,1,777,53,-1,164,203,497,51,43,10,429
333314463,"OC1",13,0,28,51,203,58,22,164,51,203,20,28
332632696,"OC1",13,0,164,-1,114,10,-1,24,114,117,350,25
332579705,"OC1",13,1,876,104,24,2,427,121,203,-1,777,432
331459669,"OC1",13,1,777,203,24,64,164,3,114,51,421,777
331434463,"OC1",13,1,51,412,39,421,7,10,38,58,121,24
331441036,"OC1",13,0,10,22,43,203,111,24,427,120,51,7
330587044,"OC1",13,1,30,777,164,25,91,-1,38,164,203,875
330540377,"OC1",13,0,122,114,24,39,99,432,203,427,10,164
329563681,"OC1",13,0,76,432,142,-1,107,114,203,245,-1,105
329590920,"OC1",13,0,91,-1,164,432,-1,875,203,38,51,432
329044705,"OC1",13,0,-1,432,350,203,35,28,53,60,203,164
329050469,"OC1",13,1,350,523,114,104,69,777,30,51,24,203
328775272,"OC1",13,1,81,777,164,38,203,104,105,7,777,30
328704711,"OC1",13,1,38,111,107,164,22,245,25,35,38,164
328679875,"OC1",13,0,51,62,23,164,777,107,-1,35,164,51
328677271,"OC1",13,0,432,421,51,111,58,104,51,157,-1,25
326884209,"OC1",13,1,412,203,432,24,114,76,203,51,432,22
326821825,"OC1",13,1,76,54,164,10,7,25,164,876,875,43
326816565,"OC1",13,0,134,203,523,164,76,-1,76,10,30,38
326813933,"OC1",13,0,-1,22,38,203,35,60,38,51,111,164
326763385,"OC1",13,0,142,432,104,111,-1,91,38,114,81,107
326630819,"OC1",13,1,523,-1,38,268,28,121,517,30,38,-1
326558764,"OC1",13,1,53,28,121,22,432,121,38,114,35,-1
326453876,"OC1",13,1,432,2,58,22,30,51,43,38,432,203
326322056,"OC1",13,1,28,203,58,38,105,84,164,432,203,25
326318639,"OC1",13,0,38,35,164,28,10,203,876,432,121,60
326208095,"OC1",13,0,28,55,875,105,35,60,30,53,119,39
325790563,"OC1",13,0,875,58,35,30,22,98,43,55,876,38
325758626,"OC1",13,0,58,121,35,22,412,517,30,43,141,22
325746676,"OC1",13,0,203,-1,62,28,121,22,421,84,114,107
325713152,"OC1",13,1,31,235,84,58,876,106,43,203,121,157
325498118,"OC1",13,0,38,30,164,875,56,60,24,22,142,8
325486400,"OC1",13,1,60,523,24,56,-1,55,122,517,81,82
325393309,"OC1",13,1,122,876,38,58,105,875,81,24,114,432
325400570,"OC1",13,1,38,62,35,203,-1,-1,203,876,55,38
325346675,"OC1",13,0,-1,432,127,203,81,121,203,517,64,432
325344345,"OC1",13,1,203,-1,-1,141,35,114,432,38,7,203
325045188,"OC1",13,1,432,35,61,24,-1,38,30,203,81,106
325050964,"OC1",13,0,38,203,114,81,432,121,117,432,203,91
325022271,"OC1",13,0,-1,350,76,876,203,106,8,432,121,38
324988995,"OC1",13,1,43,432,81,106,-1,38,122,875,432,517
