"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
381599975,"OC1",13,0,235,4,7,517,12,4,164,14,4,80,4,14,77,6,11,114,4,12,236,14,4,81,4,7,111,14,4,104,4,11
381118815,"OC1",13,0,432,4,3,202,1,4,58,12,4,141,4,11,157,14,4,104,11,4,89,14,4,360,4,7,875,12,4,103,4,14
380867538,"OC1",13,1,350,7,3,24,12,4,777,4,14,121,11,14,523,4,1,39,12,4,107,4,11,119,4,7,22,3,4,245,4,12
380825406,"OC1",13,1,412,14,4,157,14,4,10,4,12,22,4,7,104,11,3,163,11,4,145,4,1,117,7,4,38,14,4,39,12,4
380765057,"OC1",13,1,164,4,12,22,4,7,163,4,11,517,14,4,236,4,14,104,11,4,92,4,12,99,21,4,235,7,4,81,4,1
371691253,"OC1",13,1,141,11,4,105,4,14,235,7,4,432,14,4,62,12,4,516,4,12,25,4,14,517,12,4,96,4,7,120,6,11
371631614,"OC1",13,1,39,12,4,32,11,4,80,14,4,145,7,4,157,14,4,555,14,4,114,4,12,33,11,4,67,7,4,112,4,3
371544652,"OC1",13,0,104,11,14,127,4,12,43,4,3,235,4,7,516,4,12,84,12,4,120,11,6,517,4,12,96,4,21,147,7,4
371504399,"OC1",13,1,104,11,4,112,4,12,111,12,4,777,14,4,89,14,4,120,11,6,245,4,12,202,1,4,147,3,4,41,3,4
371463165,"OC1",13,1,516,4,12,141,11,4,236,4,3,53,14,4,245,12,4,21,4,7,69,4,12,14,4,12,121,11,4,147,3,4
371397764,"OC1",13,0,147,3,4,50,7,4,84,4,12,141,4,11,10,4,1,92,4,12,360,4,7,60,11,4,91,4,14,111,14,4
368450226,"OC1",13,0,516,12,4,112,21,4,203,4,11,147,4,7,236,4,3,102,4,11,77,6,14,30,4,12,432,4,14,245,12,4
368346301,"OC1",13,0,147,4,3,246,14,4,33,11,4,112,12,4,14,4,12,26,4,14,28,11,4,240,12,4,103,14,4,222,4,1
368318529,"OC1",13,1,63,4,7,33,11,4,26,4,14,50,4,3,14,4,12,164,12,4,104,11,4,53,14,4,84,12,4,498,4,1
368272019,"OC1",13,1,164,4,12,115,4,12,19,4,11,412,4,14,86,4,14,62,12,4,26,4,14,154,4,11,498,4,7,13,12,4
366889356,"OC1",13,1,8,12,4,777,4,14,12,14,4,98,4,11,163,7,4,43,4,14,56,4,14,517,11,4,164,12,4,81,4,7
366786299,"OC1",13,1,117,4,3,84,12,4,121,4,11,222,4,7,55,12,14,421,11,4,3,12,4,875,14,4,145,7,4,114,4,12
366745870,"OC1",13,1,57,4,12,104,4,11,555,4,14,236,14,4,145,4,3,34,4,14,147,12,4,245,11,4,777,3,4,24,12,4
366123737,"OC1",13,0,45,7,4,37,1,4,64,11,4,91,14,4,114,12,4,432,4,3,163,14,4,126,12,4,22,4,1,104,11,4
365730124,"OC1",13,1,12,14,4,76,4,11,91,14,4,114,12,4,360,4,3,20,11,4,117,4,3,10,4,6,236,4,7,39,4,12
365680882,"OC1",13,0,517,11,4,266,4,12,412,14,4,523,4,7,55,14,4,114,12,4,81,7,4,246,4,14,245,11,4,432,14,4
365375354,"OC1",13,0,350,7,3,81,4,1,104,11,4,57,12,4,84,4,12,154,4,11,164,12,4,147,4,14,145,4,7,99,21,4
365339679,"OC1",13,0,57,12,4,163,4,14,64,11,4,80,4,14,96,7,4,421,11,4,85,12,4,497,4,14,236,14,4,498,4,7
365268243,"OC1",13,0,61,4,12,120,11,6,12,4,14,29,1,4,517,4,12,235,4,7,89,14,4,54,12,4,157,14,4,30,11,4
364838785,"OC1",13,0,22,4,1,76,4,11,24,12,4,80,4,14,142,4,12,268,4,1,78,12,4,876,4,11,89,4,14,360,4,7
364831157,"OC1",13,0,360,4,7,245,11,4,69,12,4,80,14,4,236,14,4,57,12,4,157,14,4,235,4,1,223,4,14,28,11,4
351408918,"OC1",13,0,61,12,4,79,14,4,876,11,4,81,7,4,58,12,4,164,4,12,145,4,1,84,4,12,104,4,11,89,14,4
351430185,"OC1",13,1,58,4,12,99,3,4,64,4,11,202,7,4,61,4,12,266,4,12,84,12,4,43,14,4,121,11,4,235,7,4
351395598,"OC1",13,1,10,4,12,245,11,4,360,4,1,98,4,14,80,14,4,79,14,4,7,4,14,235,4,7,876,4,11,106,4,12
349677211,"OC1",13,1,22,4,7,516,4,12,106,11,4,412,14,4,61,12,4,202,1,4,246,4,14,20,11,4,517,12,4,236,12,4
336295911,"OC1",13,1,268,4,3,119,4,7,150,4,12,53,14,4,203,11,4,412,14,4,30,11,4,62,4,12,236,4,14,429,4,7
336261997,"OC1",13,0,21,4,7,432,14,4,126,4,12,76,4,11,61,1,4,412,14,4,429,4,7,113,4,11,10,4,12,84,12,4
334051921,"OC1",13,0,236,1,4,51,4,12,92,4,12,28,11,4,25,4,7,427,4,11,202,4,1,114,12,4,497,4,3,1,4,12
334027145,"OC1",13,1,51,4,7,350,3,14,84,4,12,120,11,6,157,14,4,203,11,4,81,4,7,107,4,12,117,4,14,517,12,4
333811779,"OC1",13,1,145,4,7,117,3,4,121,11,4,517,4,12,61,12,4,62,12,4,22,4,7,99,4,3,76,4,11,55,14,4
333663278,"OC1",13,1,51,4,7,134,3,4,76,11,4,39,4,12,99,14,4,516,4,12,238,11,4,22,4,1,16,7,4,268,12,4
333655447,"OC1",13,1,61,4,12,106,11,4,235,4,12,111,4,14,98,14,4,81,4,21,350,7,3,164,12,4,875,6,4,28,4,11
333643712,"OC1",13,1,39,4,12,115,12,4,203,4,11,81,4,21,350,7,3,74,21,4,25,4,3,104,4,11,41,12,4,55,14,12
333588457,"OC1",13,0,432,14,4,777,4,1,164,12,4,104,4,11,236,4,7,235,4,7,64,4,11,54,12,4,4,4,14,99,4,3
333530516,"OC1",13,1,202,4,7,432,14,4,429,4,3,245,4,11,84,12,4,412,14,4,81,4,7,517,12,4,236,14,4,119,4,11
333349212,"OC1",13,0,67,3,4,145,7,4,80,4,3,777,14,4,9,11,4,58,4,14,6,12,4,76,11,4,18,4,7,412,14,4
333354058,"OC1",13,1,84,12,4,74,21,4,777,4,14,432,3,4,141,11,4,114,4,12,875,11,4,412,4,14,236,7,4,268,4,12
333340103,"OC1",13,1,99,4,14,126,4,12,236,4,14,427,4,11,517,4,12,101,12,4,20,11,4,62,12,4,81,4,7,555,4,14
333314463,"OC1",13,0,120,6,11,432,4,14,202,7,4,142,4,14,114,12,4,98,4,12,154,11,4,81,4,7,43,3,4,4,14,4
332632696,"OC1",13,0,432,14,4,8,12,4,236,4,3,115,4,12,106,4,11,6,12,4,498,4,3,30,11,4,246,4,14,497,4,14
332579705,"OC1",13,1,107,4,11,81,7,4,61,4,1,114,4,12,412,3,4,18,4,7,99,4,14,60,11,4,41,4,12,4,12,4
331459669,"OC1",13,1,142,14,4,145,4,1,53,14,4,41,12,4,141,4,11,13,4,12,22,4,7,60,11,4,40,4,3,246,14,4
331434463,"OC1",13,1,150,12,4,117,7,4,777,4,14,22,4,3,60,11,4,145,4,3,53,14,4,55,14,12,98,14,4,203,11,4
331441036,"OC1",13,0,99,7,4,202,12,4,30,11,4,516,12,4,157,14,4,98,4,12,267,4,14,236,4,7,76,4,11,777,4,14
330587044,"OC1",13,1,4,4,12,99,14,4,120,11,6,51,1,4,134,4,12,19,4,12,432,4,14,22,4,1,103,1,4,245,11,4
330540377,"OC1",13,0,80,14,4,421,4,11,51,4,7,25,3,4,8,12,4,201,7,4,62,4,12,60,4,11,91,4,12,22,4,1
329563681,"OC1",13,0,58,12,4,236,4,12,102,4,11,777,14,4,350,7,3,81,4,7,235,4,14,268,4,12,30,4,11,164,12,4
329590920,"OC1",13,0,62,4,12,236,4,12,245,11,4,516,12,4,350,3,7,82,12,4,429,4,7,107,11,4,25,14,4,517,12,4
329044705,"OC1",13,0,777,4,12,81,4,1,8,4,14,245,11,4,875,14,4,24,4,12,25,4,14,51,7,4,142,4,12,120,11,6
329050469,"OC1",13,1,236,4,7,127,12,4,59,11,4,99,14,4,516,4,12,164,4,12,145,4,7,76,11,4,517,12,4,235,21,4
